id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change,name,bvdidnumber
NK-2CdXhyCy9XzyZgcFcHXrTZ,LegalEntity,LLC HAVERIM,CHAVERIM;CHAVERIM LLC HAVERIM;LIMITED LIABILITY COMPANY KHAVERIM,,ru,"NAB. OKTYABRSKAYA D. 104, K. 1 LIT. P, OFFICE 401, SAINT PETERSBURG, RUS, 193079",EVFWEDMZY2C5;EVG4X9K8WUF4;LEY4MWR5LB45,Reciprocal - 2024-08-23,,,US SAM Procurement Exclusions,2024-09-20T07:55:13,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC HAVERIM,UA23839739
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA25865927
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA25760887
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA25760858
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA25257852
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA26164839
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA24010227
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA24010210
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA24010167
NK-2DoNAuynq6QjpaKV4CqXX9,LegalEntity,LLC INTERRESURS,,,ru,"UL. MARSHALA GOVOROVA D. 35, KORPUS 4 LIT. I, POM.30-N, OFFICE 717, SAINT PETERSBURG, RUS, 198095",XZ52FKLQAEL9,Reciprocal - 2024-10-30,,,US SAM Procurement Exclusions,2024-11-01T07:55:06,2025-01-07T07:55:02,2024-12-03T11:56:57,LLC INTERRESURS,UA24010144
